vType,stat_name,count,min,max,median,mean,std
ego,duration,72,20.0,93.0,57.0,54.708333333333336,21.19514979895164
ego,routeLength,72,197.8,241.93,241.66,224.82916666666665,17.642890033948518
ego,speed,72,2.3000000000000003,12.0965,3.966065573770492,5.095817241325999,2.8034805363163553
ego,stopTime,72,0.0,0.0,0.0,0.0,0.0
ego,timeLoss,72,3.38,72.68,40.37,37.646666666666675,21.115176611464403
ego,waitingCount,72,0.0,2.0,1.0,0.8333333333333334,0.44095855184409893
ego,waitingTime,72,0.0,65.0,28.0,27.069444444444443,20.280893025544515
background,duration,178,20.0,93.0,52.0,51.70786516853933,21.594684243519882
background,routeLength,178,197.8,241.93,215.24,224.30657303370793,18.020694908839523
background,speed,178,2.2936363636363635,12.083,4.244385964912281,5.343886505769084,2.632110578268048
background,stopTime,178,0.0,0.0,0.0,0.0,0.0
background,timeLoss,178,3.51,76.27,35.21,34.4432584269663,21.410682347747276
background,waitingCount,178,0.0,2.0,1.0,0.8370786516853933,0.4873413363173453
background,waitingTime,178,0.0,64.0,21.0,23.831460674157302,20.7368401236994
rescue,duration,2,20.0,78.0,78.0,49.0,29.0
rescue,routeLength,2,209.79,214.65,214.65,212.22,2.430000000000007
rescue,speed,2,2.6896153846153843,10.7325,10.7325,6.711057692307692,4.021442307692308
rescue,stopTime,2,0.0,0.0,0.0,0.0,0.0
rescue,timeLoss,2,9.72,66.58,66.58,38.15,28.43
rescue,waitingCount,2,0.0,1.0,1.0,0.5,0.5
rescue,waitingTime,2,0.0,51.0,51.0,25.5,25.5
