vType,stat_name,count,min,max,median,mean,std
background,duration,178,21.0,90.0,40.0,42.79775280898876,14.443364617255448
background,routeLength,178,197.8,241.93,215.24,224.13971910112377,18.126475621598942
background,speed,178,2.2426666666666666,10.984545454545454,5.6066666666666665,5.81537610751377,1.8777297855753272
background,stopTime,178,0.0,0.0,0.0,0.0,0.0
background,timeLoss,178,3.84,74.64,22.41,25.58370786516853,14.460892856486838
background,waitingCount,178,0.0,4.0,1.0,1.252808988764045,0.7918957325021754
background,waitingTime,178,0.0,44.0,12.0,13.376404494382022,10.423552872608726
ego,duration,72,21.0,87.0,43.0,45.75,15.056144924913548
ego,routeLength,72,197.8,241.93,241.66,225.10416666666666,17.451666169261124
ego,speed,72,2.32,10.50695652173913,5.253478260869565,5.464580270267717,1.814510240921112
ego,stopTime,72,0.0,0.0,0.0,0.0,0.0
ego,timeLoss,72,3.45,66.41,26.47,28.730000000000004,14.8247633483079
ego,waitingCount,72,0.0,3.0,1.0,1.3888888888888888,0.8258927081843611
ego,waitingTime,72,0.0,42.0,15.0,15.847222222222221,10.912097927201692
rescue,duration,2,35.0,61.0,61.0,48.0,13.0
rescue,routeLength,2,209.79,214.65,214.65,212.22,2.430000000000007
rescue,speed,2,3.4391803278688524,6.1328571428571435,6.1328571428571435,4.7860187353629975,1.3468384074941455
rescue,stopTime,2,0.0,0.0,0.0,0.0,0.0
rescue,timeLoss,2,24.9,50.56,50.56,37.730000000000004,12.830000000000002
rescue,waitingCount,2,1.0,2.0,2.0,1.5,0.5
rescue,waitingTime,2,10.0,30.0,30.0,20.0,10.0
