vType,stat_name,count,min,max,median,mean,std
background,duration,178,21.0,128.0,41.0,48.2752808988764,21.968761176218496
background,routeLength,178,197.8,241.93,215.24,224.19533707865182,18.091455092343672
background,speed,178,1.576875,10.984545454545454,5.311578947368421,5.503264855878411,2.085558259243525
background,stopTime,178,0.0,0.0,0.0,0.0,0.0
background,timeLoss,178,3.32,109.62,24.43,31.100337078651677,21.602605905511723
background,waitingCount,178,0.0,6.0,1.0,1.5168539325842696,1.1861784502101527
background,waitingTime,178,0.0,69.0,14.0,17.028089887640448,15.299786946919676
ego,duration,72,25.0,102.0,46.0,51.236111111111114,19.508896158444937
ego,routeLength,72,197.8,241.93,241.66,224.89791666666667,17.595681835917393
ego,speed,72,1.9788235294117646,8.630714285714285,4.922926829268293,4.9329594353327115,1.5488058240892417
ego,stopTime,72,0.0,0.0,0.0,0.0,0.0
ego,timeLoss,72,7.57,85.72,29.24,33.90527777777777,19.204817174360635
ego,waitingCount,72,0.0,5.0,1.0,1.6805555555555556,0.9693409686896799
ego,waitingTime,72,0.0,54.0,16.0,19.23611111111111,13.937851196926099
rescue,duration,2,30.0,42.0,42.0,36.0,6.0
rescue,routeLength,2,214.65,214.74,214.74,214.695,0.045000000000001705
rescue,speed,2,5.112857142857143,7.155,7.155,6.133928571428571,1.0210714285714286
rescue,stopTime,2,0.0,0.0,0.0,0.0,0.0
rescue,timeLoss,2,19.4,31.1,31.1,25.25,5.850000000000001
rescue,waitingCount,2,1.0,1.0,1.0,1.0,0.0
rescue,waitingTime,2,4.0,17.0,17.0,10.5,6.5
